player_name,events,description,b_arm,p_arm,bb_type,balls,strikes,outs_when_up,inning,hit_distance_sc,launch_speed,pitch_speed,spin_rate,pitch_name,win_exp,team
"Gil, Luis",strikeout_swinging,swinging_strike,L,R,,2,2,0,5,0.0,,97.4,2286.0,4-Seam Fastball,0.356,Yankees
"Gil, Luis",fly_out,hit_into_play,R,R,fly_ball,2,1,2,4,274.0,91.4,85.2,2671.0,Slider,0.41000000000000003,Yankees
"Gil, Luis",line_out,hit_into_play,L,R,line_drive,0,1,1,4,124.0,82.0,88.2,2631.0,Slider,0.394,Yankees
"Gil, Luis",home_run,hit_into_play,L,R,fly_ball,3,2,1,4,375.0,100.9,95.6,2397.0,4-Seam Fastball,0.527,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,L,R,,1,2,2,3,0.0,,87.6,2677.0,Slider,0.517,Yankees
"Gil, Luis",line_out,hit_into_play,R,R,line_drive,2,2,1,3,340.0,107.7,98.2,2545.0,4-Seam Fastball,0.478,Yankees
"Gil, Luis",strikeout_swinging,foul_tip,R,R,,1,2,0,3,0.0,,99.0,2496.0,4-Seam Fastball,0.45999999999999996,Yankees
"Gil, Luis",single,hit_into_play,R,R,line_drive,3,2,0,3,261.0,90.3,87.3,2634.0,Slider,0.5,Yankees
"Gil, Luis",fly_out,hit_into_play,L,R,fly_ball,3,1,2,2,305.0,92.1,96.3,2330.0,4-Seam Fastball,0.54,Yankees
"Gil, Luis",line_out,hit_into_play,R,R,line_drive,1,1,1,2,269.0,77.9,86.1,2622.0,Slider,0.523,Yankees
"Gil, Luis",line_out,hit_into_play,L,R,line_drive,3,2,0,2,169.0,99.7,87.2,2604.0,Slider,0.5,Yankees
"Gil, Luis",ground_out,hit_into_play,L,R,ground_ball,0,0,2,1,8.0,88.0,97.6,2450.0,4-Seam Fastball,0.475,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,3,2,1,1,0.0,,87.8,2518.0,Slider,0.402,Yankees
"Gil, Luis",walk,ball,L,R,,3,0,1,1,0.0,,96.1,2397.0,4-Seam Fastball,0.46199999999999997,Yankees
"Gil, Luis",walk,ball,R,R,,3,0,1,1,0.0,,97.0,2233.0,4-Seam Fastball,0.481,Yankees
"Gil, Luis",double,hit_into_play,R,R,line_drive,2,1,1,1,256.0,110.7,88.2,2343.0,Slider,0.522,Yankees
"Gil, Luis",fly_out,hit_into_play,R,R,fly_ball,1,2,0,1,232.0,83.6,87.3,2732.0,Slider,0.5,Yankees
"Gil, Luis",strikeout_looking,called_strike,R,R,,0,2,2,6,0.0,,89.6,2630.0,Slider,0.892,Yankees
"Gil, Luis",ground_out,hit_into_play,L,R,ground_ball,1,2,1,6,63.0,84.3,89.0,2747.0,Slider,0.875,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,L,R,,2,2,0,6,0.0,,96.7,2277.0,4-Seam Fastball,0.849,Yankees
"Gil, Luis",ground_out,hit_into_play,R,R,ground_ball,1,2,2,5,49.0,79.3,96.7,2429.0,4-Seam Fastball,0.862,Yankees
"Gil, Luis",strikeout_swinging,foul_tip,L,R,,0,2,1,5,0.0,,96.8,2413.0,4-Seam Fastball,0.846,Yankees
"Gil, Luis",pop_out,hit_into_play,R,R,popup,0,0,0,5,28.0,83.1,94.4,2189.0,4-Seam Fastball,0.821,Yankees
"Gil, Luis",ground_out,hit_into_play,R,R,ground_ball,1,0,2,4,12.0,96.3,95.8,2354.0,4-Seam Fastball,0.815,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,3,2,1,4,0.0,,97.8,2405.0,4-Seam Fastball,0.779,Yankees
"Gil, Luis",double,hit_into_play,L,R,ground_ball,2,2,1,4,46.0,94.5,88.3,2537.0,Slider,0.8200000000000001,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,3,2,0,4,0.0,,85.4,2716.0,Slider,0.7969999999999999,Yankees
"Gil, Luis",ground_out,hit_into_play,L,R,ground_ball,2,0,2,3,105.0,85.1,90.0,1705.0,Changeup,0.815,Yankees
"Gil, Luis",fly_out,hit_into_play,L,R,fly_ball,0,0,1,3,370.0,94.6,90.6,1654.0,Changeup,0.7989999999999999,Yankees
"Gil, Luis",fly_out,hit_into_play,R,R,fly_ball,0,1,0,3,381.0,99.0,86.6,2601.0,Slider,0.776,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,L,R,,2,2,2,2,0.0,,98.8,2304.0,4-Seam Fastball,0.476,Yankees
"Gil, Luis",walk,ball,R,R,,3,2,2,2,0.0,,97.7,2278.0,4-Seam Fastball,0.489,Yankees
"Gil, Luis",pop_out,hit_into_play,R,R,popup,2,2,1,2,68.0,69.2,87.7,2586.0,Slider,0.473,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,3,2,0,2,0.0,,88.9,2463.0,Slider,0.44999999999999996,Yankees
"Gil, Luis",ground_out,hit_into_play,L,R,ground_ball,2,2,2,1,23.0,94.5,96.5,2162.0,4-Seam Fastball,0.478,Yankees
"Gil, Luis",walk,ball,R,R,,3,2,2,1,0.0,,87.6,2721.0,Slider,0.49,Yankees
"Gil, Luis",pop_out,hit_into_play,L,R,popup,2,1,1,1,26.0,94.7,84.0,2383.0,Slider,0.474,Yankees
"Gil, Luis",fly_out,hit_into_play,L,R,fly_ball,1,2,0,1,217.0,77.4,85.0,2331.0,Slider,0.45299999999999996,Yankees
"Gil, Luis",walk,ball,L,R,,3,0,0,4,0.0,,98.0,2439.0,4-Seam Fastball,0.371,Yankees
"Gil, Luis",home_run,hit_into_play,L,R,fly_ball,1,0,0,4,400.0,102.4,97.2,2261.0,4-Seam Fastball,0.5,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,L,R,,3,2,2,3,0.0,,90.4,2483.0,Slider,0.489,Yankees
"Gil, Luis",single,hit_into_play,L,R,ground_ball,0,2,2,3,110.0,90.0,89.8,2558.0,Slider,0.623,Yankees
"Gil, Luis",walk,ball,L,R,,3,0,2,3,0.0,,97.6,2402.0,4-Seam Fastball,0.647,Yankees
"Gil, Luis",walk,ball,R,R,,3,1,2,3,0.0,,90.0,2435.0,Slider,0.661,Yankees
"Gil, Luis",line_out,hit_into_play,L,R,line_drive,1,1,1,3,163.0,91.0,94.2,1605.0,Changeup,0.643,Yankees
"Gil, Luis",ground_out,hit_into_play,L,R,ground_ball,0,0,0,3,32.0,80.0,87.9,2419.0,Slider,0.617,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,L,R,,1,2,2,2,0.0,,90.9,2710.0,Slider,0.5800000000000001,Yankees
"Gil, Luis",walk,ball,L,R,,3,1,2,2,0.0,,97.7,2479.0,4-Seam Fastball,0.608,Yankees
"Gil, Luis",force_out,hit_into_play,L,R,ground_ball,0,2,1,2,7.0,82.0,95.5,1911.0,Changeup,0.565,Yankees
"Gil, Luis",fielders_choice,hit_into_play,L,R,ground_ball,2,0,1,2,9.0,87.1,94.4,1900.0,Changeup,0.641,Yankees
"Gil, Luis",force_out,hit_into_play,L,R,ground_ball,2,0,0,2,126.0,61.0,97.3,2492.0,4-Seam Fastball,0.609,Yankees
"Gil, Luis",walk,ball,L,R,,3,0,0,2,0.0,,97.6,2506.0,4-Seam Fastball,0.644,Yankees
"Gil, Luis",double,hit_into_play,R,R,line_drive,1,0,0,2,390.0,108.9,98.2,2484.0,4-Seam Fastball,0.706,Yankees
"Gil, Luis",pop_out,hit_into_play,L,R,popup,1,2,2,1,172.0,82.5,98.0,2453.0,4-Seam Fastball,0.525,Yankees
"Gil, Luis",fly_out,hit_into_play,L,R,fly_ball,2,1,1,1,217.0,86.4,92.4,1852.0,Changeup,0.497,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,L,R,,2,2,0,1,0.0,,90.3,2636.0,Slider,0.46399999999999997,Yankees
"Gil, Luis",walk,ball,L,R,,3,2,0,1,0.0,,97.7,2542.0,4-Seam Fastball,0.5,Yankees
"Gil, Luis",ground_out,hit_into_play,R,R,ground_ball,3,2,2,4,6.0,105.7,94.1,1801.0,Changeup,0.14300000000000002,Yankees
"Gil, Luis",single,hit_into_play,L,R,line_drive,1,1,2,4,155.0,69.3,97.7,2596.0,4-Seam Fastball,0.21299999999999997,Yankees
"Gil, Luis",pop_out,hit_into_play,L,R,popup,0,2,1,4,56.0,79.3,89.6,2620.0,Slider,0.16900000000000004,Yankees
"Gil, Luis",ground_out,hit_into_play,R,R,ground_ball,0,1,0,4,4.0,40.4,96.9,2534.0,4-Seam Fastball,0.16500000000000004,Yankees
"Gil, Luis",double,hit_into_play,L,R,line_drive,2,1,0,4,193.0,99.1,96.7,2502.0,4-Seam Fastball,0.20699999999999996,Yankees
"Gil, Luis",home_run,hit_into_play,R,R,fly_ball,2,0,0,4,407.0,108.4,86.9,2478.0,Slider,0.31000000000000005,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,L,R,,1,2,2,3,0.0,,89.3,2619.0,Slider,0.33999999999999997,Yankees
"Gil, Luis",single,hit_into_play,R,R,line_drive,3,2,2,3,269.0,75.4,90.0,2436.0,Slider,0.362,Yankees
"Gil, Luis",ground_out,hit_into_play,L,R,ground_ball,1,2,1,3,23.0,95.0,93.3,1672.0,Changeup,0.347,Yankees
"Gil, Luis",fly_out,hit_into_play,R,R,fly_ball,1,2,0,3,325.0,95.4,89.3,2612.0,Slider,0.32699999999999996,Yankees
"Gil, Luis",pop_out,hit_into_play,L,R,popup,2,2,2,2,31.0,58.6,89.9,2658.0,Slider,0.374,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,L,R,,2,2,1,2,0.0,,87.1,2672.0,Slider,0.36,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,1,2,0,2,0.0,,99.5,2452.0,4-Seam Fastball,0.33999999999999997,Yankees
"Gil, Luis",single,hit_into_play,L,R,line_drive,1,2,2,1,139.0,100.5,92.8,1828.0,Changeup,0.355,Yankees
"Gil, Luis",walk,ball,R,R,,3,1,2,1,0.0,,88.4,2498.0,Slider,0.363,Yankees
"Gil, Luis",double,hit_into_play,L,R,line_drive,1,2,2,1,150.0,75.6,98.9,2443.0,4-Seam Fastball,0.46399999999999997,Yankees
"Gil, Luis",ground_out,hit_into_play,R,R,ground_ball,1,1,1,1,7.0,62.9,88.5,2483.0,Slider,0.43400000000000005,Yankees
"Gil, Luis",double,hit_into_play,L,R,line_drive,1,2,1,1,357.0,96.1,97.4,2448.0,4-Seam Fastball,0.5549999999999999,Yankees
"Gil, Luis",pop_out,hit_into_play,R,R,popup,2,1,0,1,124.0,74.8,97.3,2491.0,4-Seam Fastball,0.52,Yankees
"Gil, Luis",walk,ball,L,R,,3,2,0,1,0.0,,97.0,2315.0,4-Seam Fastball,0.558,Yankees
"Gil, Luis",fly_out,hit_into_play,L,R,fly_ball,0,2,2,5,332.0,96.0,100.2,2551.0,4-Seam Fastball,0.961,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,2,2,1,5,0.0,,98.2,2438.0,4-Seam Fastball,0.954,Yankees
"Gil, Luis",fly_out,hit_into_play,R,R,fly_ball,3,2,0,5,254.0,75.1,96.8,2376.0,4-Seam Fastball,0.943,Yankees
"Gil, Luis",fly_out,hit_into_play,L,R,fly_ball,1,2,2,4,228.0,83.3,99.5,2496.0,4-Seam Fastball,0.8240000000000001,Yankees
"Gil, Luis",walk,ball,R,R,,3,2,2,4,0.0,,90.5,2447.0,Slider,0.838,Yankees
"Gil, Luis",strikeout_swinging,swinging_strike,R,R,,1,2,1,4,0.0,,98.2,2493.0,4-Seam Fastball,0.821,Yankees
"Gil, Luis",strikeout_looking,called_strike,L,R,,1,2,0,4,0.0,,87.4,2340.0,Slider,0.786,Yankees
"Gil, Luis",walk,ball,R,R,,3,2,0,4,0.0,,88.1,2459.0,Slider,0.8240000000000001,Yankees
"Gil, Luis",fly_out,hit_into_play,R,R,fly_ball,1,2,2,3,271.0,81.9,89.7,2541.0,Slider,0.8280000000000001,Yankees
